index,word,a,b,c
183,вышивать,0.1,0.0,0.1823215567939546
184,г,0.0,0.2,-0.3364722366212129
185,гамбург,0.0,0.1,-0.1823215567939546
186,где,0.1,0.3,-0.3007541540191338
187,германия,0.0,0.1,-0.1823215567939546
188,гигант,0.1,0.0,0.1823215567939546
189,гимнастика,0.0,0.1,-0.1823215567939546
190,гимнастический,0.0,0.1,-0.1823215567939546
191,глава,0.1,0.0,0.1823215567939546
192,глаз,0.1,0.0,0.1823215567939546
193,гламур,0.1,0.0,0.1823215567939546
194,глупый,0.2,0.0,0.3364722366212129
195,говорить,0.3,0.2,0.1451820098444979
196,год,0.4,0.5,-0.13353139262452274
197,голова,0.0,0.1,-0.1823215567939546
198,гонять,0.0,0.1,-0.1823215567939546
199,гора,0.0,0.1,-0.1823215567939546
200,гораздо,0.0,0.1,-0.1823215567939546
201,город,0.1,0.0,0.1823215567939546
202,гот,0.2,0.1,0.15906469462968728
203,готовить,0.0,0.1,-0.1823215567939546
204,граф,0.0,0.1,-0.1823215567939546
205,гроссмейстер,0.0,0.1,-0.1823215567939546
206,грошовый,0.1,0.0,0.1823215567939546
207,грубый,0.0,0.1,-0.1823215567939546
208,группа,0.4,0.1,0.4289956055183586
209,гучча,0.1,0.0,0.1823215567939546
210,д,0.1,0.0,0.1823215567939546
211,давать,0.2,0.1,0.15906469462968728
212,даже,0.7,0.6,0.13720112151348496
213,дайвинг,0.0,0.1,-0.1823215567939546
214,данный,0.1,0.0,0.1823215567939546
215,два,0.0,0.1,-0.1823215567939546
216,двадцатый,0.2,0.1,0.15906469462968728
217,дверь,0.2,0.0,0.3364722366212129
218,де,0.0,0.1,-0.1823215567939546
219,дебют,0.0,0.1,-0.1823215567939546
220,девушка,0.1,0.0,0.1823215567939546
221,девятнадцатый,0.2,0.1,0.15906469462968728
222,действительно,0.0,0.2,-0.3364722366212129
223,делать,0.3,0.3,0.0
224,дело,0.3,0.2,0.1451820098444979
225,деловой,0.1,0.0,0.1823215567939546
226,день,0.5,0.3,0.26826398659467937
227,деньги,0.4,0.1,0.4289956055183586
228,держать,0.0,0.1,-0.1823215567939546
229,десятилетие,0.0,0.1,-0.1823215567939546
230,детский,0.1,0.0,0.1823215567939546
231,дешево,0.2,0.0,0.3364722366212129
232,дешевый,0.0,0.1,-0.1823215567939546
233,джампинг,0.0,0.1,-0.1823215567939546
234,джинсы,0.2,0.0,0.3364722366212129
235,джон,0.0,0.1,-0.1823215567939546
236,диета,0.0,0.1,-0.1823215567939546
237,дизайнер,0.3,0.1,0.30075415401913386
238,дизайнерский,0.3,0.0,0.47000362924573563
239,дикий,0.0,0.1,-0.1823215567939546
240,длинный,0.1,0.0,0.1823215567939546
241,для,1.0,0.7,0.47000362924573563
242,добротный,0.1,0.0,0.1823215567939546
243,довольно,0.2,0.0,0.3364722366212129
244,доктор,0.0,0.1,-0.1823215567939546
245,должно,0.1,0.0,0.1823215567939546
246,должность,0.0,0.1,-0.1823215567939546
247,должный,0.3,0.2,0.1451820098444979
248,дом,0.1,0.1,0.0
249,дома,0.0,0.1,-0.1823215567939546
250,доносить,0.2,0.1,0.15906469462968728
251,дорого,0.1,0.0,0.1823215567939546
252,дорогой,0.3,0.0,0.47000362924573563
253,достаточно,0.0,0.1,-0.1823215567939546
254,достижение,0.0,0.1,-0.1823215567939546
255,достопримечательность,0.1,0.0,0.1823215567939546
256,доступный,0.1,0.1,0.0
257,досуг,0.1,0.0,0.1823215567939546
258,доход,0.1,0.0,0.1823215567939546
259,древний,0.1,0.0,0.1823215567939546
260,дресс,0.1,0.0,0.1823215567939546
261,друг,0.1,0.3,-0.3007541540191338
262,другой,0.7,0.6,0.13720112151348496
263,думать,0.1,0.2,-0.15906469462968728
264,дух,0.1,0.0,0.1823215567939546
265,душа,0.1,0.1,0.0
266,душевный,0.1,0.0,0.1823215567939546
267,е,0.1,0.0,0.1823215567939546
268,европа,0.1,0.1,0.0
269,европейский,0.1,0.1,0.0
270,его,0.3,0.4,-0.13720112151348515
271,егорова,0.0,0.1,-0.1823215567939546
272,еда,0.2,0.0,0.3364722366212129
273,единственный,0.1,0.0,0.1823215567939546
274,ее,0.1,0.0,0.1823215567939546
275,езда,0.0,0.1,-0.1823215567939546
276,ездить,0.0,0.1,-0.1823215567939546
277,если,0.5,0.3,0.26826398659467937
278,естественность,0.1,0.0,0.1823215567939546
279,ехать,0.0,0.1,-0.1823215567939546
280,ещ,0.0,0.1,-0.1823215567939546
281,еще,0.1,0.1,0.0
282,же,0.4,0.3,0.13720112151348515
283,желание,0.1,0.1,0.0
284,железный,0.0,0.1,-0.1823215567939546
285,жена,0.1,0.1,0.0
286,женатый,0.0,0.1,-0.1823215567939546
287,женский,0.1,0.0,0.1823215567939546
288,женщина,0.3,0.0,0.47000362924573563
289,жертва,0.2,0.0,0.3364722366212129
290,жесткий,0.0,0.1,-0.1823215567939546
291,жизненно,0.2,0.0,0.3364722366212129
292,жизненный,0.1,0.0,0.1823215567939546
293,жизнь,0.6,0.4,0.26469255422708216
294,жить,0.2,0.4,-0.2795848622191617
295,журнал,0.5,0.1,0.5465437063680698
296,за,0.2,0.5,-0.40546510810816444
297,забота,0.0,0.1,-0.1823215567939546
298,заботиться,0.0,0.1,-0.1823215567939546
299,забывать,0.3,0.0,0.47000362924573563
300,заведение,0.1,0.0,0.1823215567939546
301,зависеть,0.3,0.2,0.1451820098444979
302,зависимый,0.1,0.0,0.1823215567939546
303,завоевывать,0.0,0.1,-0.1823215567939546
304,задумываться,0.1,0.0,0.1823215567939546
305,закалять,0.0,0.1,-0.1823215567939546
306,заканчивать,0.0,0.1,-0.1823215567939546
307,заключаться,0.1,0.0,0.1823215567939546
308,заключение,0.1,0.1,0.0
309,закон,0.3,0.1,0.30075415401913386
310,законодатель,0.1,0.0,0.1823215567939546
311,замерзать,0.0,0.1,-0.1823215567939546
312,заметный,0.1,0.0,0.1823215567939546
313,занимать,0.1,0.0,0.1823215567939546
314,заниматься,0.0,0.3,-0.4700036292457356
315,занятие,0.0,0.1,-0.1823215567939546
316,западный,0.1,0.0,0.1823215567939546
317,запрещать,0.2,0.1,0.15906469462968728
318,зарубежный,0.0,0.1,-0.1823215567939546
319,затем,0.0,0.2,-0.3364722366212129
320,захватывать,0.1,0.1,0.0
321,защищать,0.0,0.1,-0.1823215567939546
322,заявлять,0.1,0.1,0.0
323,звание,0.0,0.1,-0.1823215567939546
324,звать,0.0,0.1,-0.1823215567939546
325,звезда,0.0,0.1,-0.1823215567939546
326,здесь,0.1,0.0,0.1823215567939546
327,здоровый,0.0,0.3,-0.4700036292457356
328,здоровье,0.0,0.3,-0.4700036292457356
329,зеленый,0.2,0.1,0.15906469462968728
330,земля,0.0,0.1,-0.1823215567939546
331,зидан,0.0,0.1,-0.1823215567939546
332,зима,0.0,0.1,-0.1823215567939546
333,зимний,0.0,0.1,-0.1823215567939546
334,зинедин,0.0,0.1,-0.1823215567939546
335,знак,0.1,0.0,0.1823215567939546
336,знать,0.4,0.1,0.4289956055183586
337,значительно,0.1,0.0,0.1823215567939546
338,значить,0.2,0.0,0.3364722366212129
339,золотой,0.0,0.2,-0.3364722366212129
340,и,1.0,1.0,0.0
341,игорь,0.0,0.1,-0.1823215567939546
342,игра,0.0,0.2,-0.3364722366212129
343,играть,0.0,0.5,-0.6931471805599453
344,игрок,0.0,0.2,-0.3364722366212129
345,идеал,0.0,0.1,-0.1823215567939546
346,идеально,0.1,0.0,0.1823215567939546
347,идеальный,0.1,0.0,0.1823215567939546
348,идея,0.4,0.1,0.4289956055183586
349,идти,0.2,0.0,0.3364722366212129
350,из,0.5,0.6,-0.13353139262452274
351,известно,0.0,0.1,-0.1823215567939546
352,известный,0.2,0.2,0.0
353,изготовлять,0.1,0.0,0.1823215567939546
354,изделие,0.1,0.0,0.1823215567939546
355,изменение,0.3,0.2,0.1451820098444979
356,изменяться,0.1,0.1,0.0
357,израиль,0.1,0.0,0.1823215567939546
358,или,0.8,0.3,0.6380874033769182
359,именно,0.1,0.0,0.1823215567939546
360,иметь,0.4,0.6,-0.26469255422708216
361,инвестировать,0.1,0.0,0.1823215567939546
362,индивидуальность,0.2,0.0,0.3364722366212129
363,индустрия,0.1,0.0,0.1823215567939546
364,иногда,0.2,0.1,0.15906469462968728
365,иной,0.1,0.0,0.1823215567939546
366,инстанция,0.0,0.1,-0.1823215567939546
367,инсульт,0.0,0.1,-0.1823215567939546
368,интер,0.0,0.1,-0.1823215567939546
369,интерес,0.0,0.1,-0.1823215567939546
370,интересный,0.2,0.0,0.3364722366212129
371,интересоваться,0.0,0.1,-0.1823215567939546
372,интернет,0.1,0.0,0.1823215567939546
373,информация,0.0,0.1,-0.1823215567939546
374,искать,0.1,0.0,0.1823215567939546
375,искусство,0.3,0.0,0.47000362924573563
376,испанский,0.0,0.1,-0.1823215567939546
377,использование,0.0,0.1,-0.1823215567939546
378,использовать,0.2,0.2,0.0
379,испытание,0.1,0.0,0.1823215567939546
380,история,0.2,0.2,0.0
381,их,0.3,0.1,0.30075415401913386
382,июль,0.0,0.1,-0.1823215567939546
383,йога,0.0,0.1,-0.1823215567939546
384,к,0.5,0.6,-0.13353139262452274
385,каждодневный,0.1,0.0,0.1823215567939546
386,каждый,0.6,0.5,0.13353139262452277
387,казаться,0.2,0.1,0.15906469462968728
388,как,0.7,0.7,0.0
389,какой,0.5,0.2,0.4054651081081644
390,карточка,0.1,0.0,0.1823215567939546
391,карьера,0.0,0.3,-0.4700036292457356
392,катание,0.0,0.1,-0.1823215567939546
393,качество,0.5,0.3,0.26826398659467937
394,киев,0.0,0.1,-0.1823215567939546
395,кино,0.0,0.1,-0.1823215567939546
396,класс,0.1,0.0,0.1823215567939546
397,классовый,0.2,0.1,0.15906469462968728
398,клеить,0.2,0.1,0.15906469462968728
399,кличко,0.0,0.1,-0.1823215567939546
400,клуб,0.1,0.1,0.0
401,книга,0.2,0.1,0.15906469462968728
402,когда,0.3,0.3,0.0
403,код,0.1,0.0,0.1823215567939546
404,коллективно,0.0,0.1,-0.1823215567939546
405,команда,0.0,0.2,-0.3364722366212129
406,компания,0.1,0.1,0.0
407,комфорт,0.1,0.0,0.1823215567939546
408,комфортно,0.1,0.0,0.1823215567939546
409,конечно,0.0,0.3,-0.4700036292457356
410,конкретный,0.1,0.0,0.1823215567939546
411,конкурировать,0.1,0.0,0.1823215567939546
412,коноварро,0.0,0.1,-0.1823215567939546
413,контракт,0.0,0.1,-0.1823215567939546
414,контролировать,0.0,0.1,-0.1823215567939546
415,конформист,0.2,0.1,0.15906469462968728
416,коринтианс,0.0,0.1,-0.1823215567939546
417,костюм,0.2,0.0,0.3364722366212129
418,который,0.8,0.6,0.2795848622191617
419,красиво,0.2,0.0,0.3364722366212129
420,красивый,0.0,0.2,-0.3364722366212129
421,красить,0.2,0.1,0.15906469462968728
422,красный,0.1,0.0,0.1823215567939546
423,красота,0.1,0.0,0.1823215567939546
424,кредитный,0.1,0.0,0.1823215567939546
425,критик,0.1,0.0,0.1823215567939546
426,критика,0.1,0.0,0.1823215567939546
427,криштиану,0.0,0.1,-0.1823215567939546
428,кроме,0.4,0.1,0.4289956055183586
429,кроссовка,0.1,0.0,0.1823215567939546
430,крузейро,0.0,0.1,-0.1823215567939546
431,крупный,0.2,0.1,0.15906469462968728
432,крутой,0.0,0.1,-0.1823215567939546
433,крысиный,0.1,0.0,0.1823215567939546
434,кстати,0.1,0.0,0.1823215567939546
435,кто,0.3,0.3,0.0
436,кулак,0.0,0.1,-0.1823215567939546
437,культура,0.1,0.0,0.1823215567939546
438,купаться,0.0,0.1,-0.1823215567939546
439,купить,0.3,0.0,0.47000362924573563
440,кэтрин,0.2,0.1,0.15906469462968728
441,лавочка,0.1,0.0,0.1823215567939546
442,лацио,0.0,0.1,-0.1823215567939546
443,легко,0.1,0.0,0.1823215567939546
444,легкомысленный,0.1,0.0,0.1823215567939546
445,лед,0.0,0.1,-0.1823215567939546
446,лекарство,0.1,0.1,0.0
447,лестница,0.0,0.1,-0.1823215567939546
448,лето,0.0,0.2,-0.3364722366212129
449,ли,0.1,0.0,0.1823215567939546
450,либо,0.1,0.0,0.1823215567939546
451,лима,0.0,0.1,-0.1823215567939546
452,линия,0.1,0.0,0.1823215567939546
453,лионель,0.0,0.1,-0.1823215567939546
454,лифт,0.0,0.1,-0.1823215567939546
455,лично,0.1,0.0,0.1823215567939546
456,личность,0.1,0.0,0.1823215567939546
457,личный,0.1,0.0,0.1823215567939546
458,лишаться,0.0,0.1,-0.1823215567939546
459,лишь,0.1,0.2,-0.15906469462968728
460,логотип,0.1,0.0,0.1823215567939546
461,лодка,0.0,0.1,-0.1823215567939546
462,лондон,0.1,0.1,0.0
463,луис,0.0,0.1,-0.1823215567939546
464,лыжа,0.0,0.1,-0.1823215567939546
465,лэмпард,0.0,0.1,-0.1823215567939546
466,любимый,0.1,0.4,-0.4289956055183586
467,любитель,0.0,0.1,-0.1823215567939546
468,любить,0.1,0.6,-0.6554068525770982
469,любой,0.3,0.2,0.1451820098444979
470,магазин,0.5,0.1,0.5465437063680698
471,магазинчик,0.1,0.0,0.1823215567939546
472,мадрид,0.0,0.2,-0.3364722366212129
473,макияж,0.1,0.0,0.1823215567939546
474,маккенра,0.0,0.1,-0.1823215567939546
475,маленький,0.1,0.1,0.0
476,мало,0.1,0.0,0.1823215567939546
477,малый,0.1,0.0,0.1823215567939546
478,мальдини,0.0,0.1,-0.1823215567939546
479,марка,0.2,0.0,0.3364722366212129
480,март,0.0,0.1,-0.1823215567939546
481,массовый,0.0,0.1,-0.1823215567939546
482,матч,0.0,0.2,-0.3364722366212129
483,медицинский,0.0,0.1,-0.1823215567939546
484,между,0.3,0.1,0.30075415401913386
485,менее,0.5,0.1,0.5465437063680698
486,меньший,0.1,0.0,0.1823215567939546
487,меняться,0.3,0.0,0.47000362924573563
